source,target,weight
2231866127,2951653875,1
876286676,2903567837,1
882675697,939095255483371520,1
1014963092,797530537296621568,1
2948791281,445305950,1
3879369021,1265483630,1
2982472295,3439333977,1
2734975089,73039079,1
245037674,2524949673,1
319639400,901090757821558785,1
2800039531,885159891891040256,1
882675697,876286676,1
3879369021,2732703441,1
280124624,376211514,1
830438448,3175995561,1
3330139223,62213070,1
858710047525928960,389331222,1
245037674,775590257706295296,1
2573661345,763427700522512384,1
830438448,888999812082933760,1
700639918339428353,825724301915602945,1
700639918339428353,907949415922618368,1
2976169083,4824333923,1
724160358181642240,931846158997245952,1
858710047525928960,1701825385,1
888999812082933760,702766851466641408,1
2982472295,96527182,1
46352298,896651734512279552,1
888999812082933760,4839012148,1
858710047525928960,2222058110,1
2165241247,947427802436943872,1
786644755,101791651,1
882675697,731401443450703872,1
876286676,728910008138764288,1
3330139223,2166585745,1
858710047525928960,131260902,1
1049004954,617063785,1
2800039531,550510477,1
700639918339428353,2547019188,1
1334662188,2688131432,1
724160358181642240,226887947,1
786644755,122166624,1
876286676,947677007004844032,1
2703077037,946692479159500800,1
337972171,1729643922,1
700639918339428353,918243544015495168,1
22844335,479810544,1
14169092,947468979748179969,1
445305950,2492762390,1
2913929512,2187170106,1
3064353419,942719391719940097,1
3330139223,34569893,1
2573661345,4343067029,1
196134777,23175144,1
2982472295,2984484713,1
558140035,2574560832,1
888999812082933760,342223488,1
1049004954,721602494783205376,1
558140035,870810914,1
627412337,946831435826188288,1
882675697,3342109035,1
319639400,155223898,1
2573661345,2183685245,1
1964228874,2740345333,1
2948791281,367239999,1
2165241247,601485522,1
2573661345,939267314884710400,1
2549528592,703569709652955136,1
2913929512,406580815,1
700639918339428353,2388491477,1
786644755,2664239108,1
319639400,402860624,1
2948791281,941304332724654080,1
2948791281,922931043392524290,1
499793772,2703979763,1
2913929512,837294194804797441,1
724160358181642240,733746890660024320,1
2913929512,724160358181642240,1
2913929512,2976169083,1
14169092,947737328235302912,1
2948791281,96527182,1
2982472295,853542136771379200,1
906114560922460161,380203773,1
906114560922460161,186891898,1
882675697,855628416221143040,1
3064353419,2187170106,1
876286676,777530937773088768,1
499793772,926847808321310720,1
319639400,926407364303114242,1
2231866127,927284639194124288,1
22844335,49586898,1
3330139223,431177356,1
499793772,53344962,1
2913929512,19014369,1
558140035,604861702,1
888999812082933760,1938113222,1
2549528592,823907580019757056,1
226550182,101791651,1
2913929512,2573661345,1
337972171,340936415,1
2573661345,750389569229615105,1
882675697,536729223,1
22844335,187267765,1
876286676,1617494906,1
786644755,773816048277659648,1
931261443151925248,871327222879182848,1
888999812082933760,883090347550801921,1
337972171,761669936699805696,1
46352298,743092439213342720,1
882675697,632320199,1
14169092,947949169985183745,1
123705679,931846158997245952,1
22844335,53344962,1
196134777,779361360727638017,1
830438448,605639477,1
445305950,711143768003624960,1
22844335,926764600435007489,1
2734975089,564000560,1
876286676,916468759564636160,1
2913929512,2800039531,1
724160358181642240,3926168789,1
2165241247,972884605,1
2800039531,737952013443555328,1
445305950,207890844,1
906114560922460161,67149451,1
499793772,1644959060,1
280124624,41810776,1
245037674,711217357683818496,1
2991955251,858710047525928960,1
700639918339428353,2945891465,1
337972171,531393829,1
2991955251,1662472470,1
888999812082933760,62563195,1
888999812082933760,890467859050188804,1
1049004954,781967989,1
727508275453956096,765875858796077056,1
3064353419,911251894005325826,1
724160358181642240,2195252122,1
3064353419,892710848350867456,1
724160358181642240,168563924,1
786644755,47956854,1
2165241247,946287437600325632,1
196134777,910437286172557312,1
445305950,705419549286526976,1
558140035,611546224,1
627412337,2327606771,1
1049004954,817255807528013826,1
280124624,105136366,1
499793772,926848558573244417,1
1334662188,2875377041,1
319639400,797139146926096389,1
876286676,845923105,1
558140035,919650797805293568,1
123705679,2903567837,1
196134777,3491135776,1
558140035,918123332683423744,1
2734975089,2170226364,1
2948791281,3319126768,1
445305950,940495319984410624,1
226550182,897411086516969473,1
22844335,722905094816018433,1
882675697,929018768126332928,1
558140035,139636624,1
2976169083,912700714710945792,1
319639400,746748503804739584,1
46352298,29063243,1
280124624,2576821495,1
2800039531,856206792463974401,1
2231866127,938084581131112448,1
1014963092,2336022676,1
2800039531,935030000180514816,1
280124624,817924344089186305,1
226550182,2894493687,1
2549528592,941700100304265216,1
46352298,1640339306,1
2549528592,866702174876774400,1
2991955251,931846158997245952,1
888999812082933760,4919022167,1
1964228874,916468759564636160,1
245037674,823454112,1
2703077037,269099987,1
123705679,919912957693358081,1
2573661345,2175622174,1
2913929512,14169092,1
14169092,947997990488289281,1
627412337,275112201,1
2734975089,25458378,1
3879369021,350766681,1
876286676,327549351,1
786644755,15760637,1
1049004954,813836189723672577,1
2948791281,2231866127,1
786644755,487491879,1
319639400,876756471823958016,1
196134777,198210772,1
1334662188,906168586221256704,1
2549528592,318447891,1
2991955251,882675697,1
22844335,128716578,1
1334662188,580103630,1
2231866127,4435716988,1
2948791281,983371153,1
2703077037,1225235220,1
1334662188,550510477,1
2800039531,54102928,1
2948791281,900785254079836160,1
888999812082933760,320691293,1
445305950,1942970707,1
14169092,948174022277296128,1
858710047525928960,876810549866135553,1
2913929512,499793772,1
888999812082933760,516305074,1
196134777,3243730815,1
786644755,569406481,1
123705679,919243525967015936,1
3879369021,4823313418,1
1014963092,840518194913763328,1
876286676,787753887495315458,1
2976169083,935030000180514816,1
2231866127,284976892,1
499793772,885159891891040256,1
245037674,83645743,1
882675697,26462770,1
337972171,106623649,1
2573661345,1285627260,1
558140035,931532688946843648,1
2573661345,741604006565453828,1
3879369021,214474469,1
123705679,919205785598644225,1
123705679,897166324396421121,1
22844335,513298480,1
888999812082933760,904700328284749825,1
1334662188,420296840,1
2573661345,3010108479,1
46352298,893562052446478337,1
3064353419,236398073,1
2982472295,888999812082933760,1
445305950,940725759764811777,1
2948791281,627412337,1
499793772,725678083517325312,1
319639400,889521415384440833,1
2913929512,523722636,1
2948791281,337972171,1
2800039531,919243525967015936,1
280124624,937784916502302721,1
862326791008071680,2740345333,1
2703077037,822064766973841408,1
2703077037,826897914475769857,1
888999812082933760,29293066,1
876286676,4653310708,1
2991955251,938901319015895040,1
786644755,87775588,1
700639918339428353,912322150215880704,1
1049004954,4266175755,1
906114560922460161,898202089662361601,1
724160358181642240,737952013443555328,1
2734975089,916566940562477056,1
858710047525928960,937282214752129024,1
2948791281,893077038147534852,1
3064353419,941545589472235520,1
2982472295,928311201062416386,1
2982472295,728910008138764288,1
196134777,858953686046912512,1
445305950,786964857493020672,1
2913929512,243615629,1
445305950,944352441029615618,1
337972171,419010002,1
2800039531,47605460,1
1049004954,858977644334985216,1
1049004954,815521563860725760,1
3879369021,207893977,1
786644755,2588671631,1
2231866127,926407364303114242,1
123705679,340430314,1
2948791281,2238971311,1
2800039531,852897942361038848,1
245037674,887660522694471680,1
1049004954,39964887,1
245037674,829353939690782720,1
2703077037,944814841818095617,1
245037674,3080196163,1
2549528592,853635567837425666,1
3879369021,19389317,1
2800039531,204949837,1
2734975089,878924382474776578,1
14169092,947524267155099650,1
2913929512,786644755,1
2982472295,2737155545,1
2231866127,1640339306,1
3064353419,938039479344025600,1
1049004954,4102376488,1
3330139223,17166067,1
226550182,449184486,1
2734975089,14847675,1
319639400,865278401489383424,1
499793772,897440523962724352,1
319639400,889402712563077123,1
2800039531,884213364284506112,1
245037674,47395667,1
2703077037,944196344117448704,1
46352298,130815661,1
3330139223,2778014834,1
1964228874,222903677,1
2573661345,854544550597193729,1
2976169083,334984455,1
558140035,922026039349579776,1
1964228874,878344420407607297,1
1014963092,859645898,1
22844335,573213620,1
1334662188,2800039531,1
830438448,904993701390376961,1
2982472295,196646702,1
337972171,979766935,1
2573661345,1137089827,1
700639918339428353,894671870989127680,1
14169092,947786559335608320,1
3064353419,1027249280,1
3879369021,563550976,1
245037674,400058420,1
2913929512,931261443151925248,1
337972171,119462882,1
906114560922460161,722105958109954049,1
337972171,910499747387117568,1
2703077037,115897937,1
2913929512,3236860221,1
445305950,940706249074708480,1
2734975089,53344962,1
1014963092,917378987495747584,1
1049004954,846571931134496769,1
2976169083,92227440,1
2231866127,944518070718140416,1
627412337,2454553909,1
280124624,3091011881,1
337972171,320884370,1
2991955251,911253732163297281,1
22844335,252072343,1
245037674,57865409,1
3879369021,137720073,1
14169092,947643459216838656,1
3879369021,637040354,1
2703077037,4504001013,1
2991955251,190944081,1
499793772,2894493687,1
3064353419,520783356,1
858710047525928960,433631367,1
2165241247,772804828166811648,1
2165241247,743211191787368448,1
858710047525928960,521121753,1
196134777,938766163097595904,1
226550182,902184412133167104,1
226550182,899576594695671808,1
445305950,944943098496417793,1
2982472295,280124624,1
319639400,30689848,1
1049004954,932390045268529154,1
1049004954,801062246143131648,1
499793772,917076886647377920,1
627412337,3154634415,1
558140035,47605460,1
2231866127,947172862753955841,1
14169092,855976591,1
2982472295,116255613,1
280124624,927725694016032768,1
2991955251,944539519600164864,1
2913929512,558140035,1
786644755,48774528,1
2231866127,14441899,1
2573661345,945628026221596674,1
558140035,919603592054689792,1
1964228874,843619675695185920,1
2800039531,246807174,1
2913929512,835902089213722625,1
2991955251,3296601712,1
226550182,755267360001560577,1
3064353419,939095255483371520,1
2165241247,4021000228,1
2948791281,2614934260,1
196134777,928985408687493120,1
196134777,779989551712436224,1
882675697,803545907308490752,1
1049004954,826676844418232325,1
3064353419,2966149222,1
2913929512,1940472746,1
